Word,Definition,Etymology,Part_of_Speech,Date,Syllables,Phonetic,Offensive
vertebrate:1,"any of a subphylum (Vertebrata) of chordates that comprises animals (such as mammals, birds, reptiles, amphibians, and fishes) typically having a bony or cartilaginous spinal column which replaces the notochord, a distinct head containing a brain which arises as an enlarged part of the nerve cord, and an internal usually bony skeleton and that includes some primitive forms (such as lampreys) in which the spinal column is absent and the notochord persists throughout life","{{text,'"New Latin {it}Vertebrata{/it}, from neuter plural of {it}vertebratus{/it}'"}}",noun,1826,ver*te*brate,ˈvər-tə-brət,f
Narew:g,river in northeastern Poland flowing west and southwest into the Bug River,,geographical name,,Na*rew,ˈnär-ˌef,f
slight:2,to treat as slight or unimportant : make light of,,verb,1586{ds||1||},slight,"",f
disintegrate,"to break or decompose into constituent elements, parts, or small particles",,verb,1796{ds|t|1||},dis*in*te*grate,(ˌ)dis-ˈin-tə-ˌgrāt,f
tusk:2,to dig up with a tusk; also : to gash with a tusk,,verb,1629,tusk,"",f
purported,"reputed, alleged",,adjective,1836,pur*port*ed,(ˌ)pər-ˈpȯr-təd,f
drudge:1,"to do hard, menial, or monotonous work","{{text,'"Middle English {it}druggen{/it}'"}}",verb,14th century{ds|i|||},drudge,ˈdrəj,f
tempestuous,"of, relating to, or resembling a tempest : turbulent, stormy","{{text,'"Middle English {it}tempestuous,{/it} Latinization of {it}tempestous,{/it} borrowed from Anglo-French, re-formation of Late Latin {it}tempestuōsus,{/it} from {it}tempestu-,{/it} probably extracted from Latin {it}tempestūt-, tempestūs,{/it} archaic variant of {it}tempestāt-, tempestās{/it} \'"stretch of time, season, weather, {et_link|tempest:1|tempest:1}\'" + {it}-ōsus{/it} {et_link|-ous|-ous}'"}}",adjective,15th century,tem*pes*tu*ous,tem-ˈpes-chə-wəs,f
scalpel,a small straight thin-bladed knife used especially in surgery,"{{text,'"Latin {it}scalpellus, scalpellum{/it}, diminutive of {it}scalper, scalprum{/it} chisel, knife, from {it}scalpere{/it} to scratch, carve'"}}",noun,1742,scal*pel,ˈskal-pəl,f
Ponchielli:b,Amilcare 1834—1886 Italian composer,,biographical name,,Pon*chi*el*li,ˌpȯŋ-kē-ˈe-lē,f
platitudinous,having the characteristics of a platitude : full of platitudes,"{{text,'"{it}platitude{/it} + {it}-inous{/it} (as in {it}multitudinous{/it})'"}}",adjective,1853,plat*i*tu*di*nous,ˌpla-tə-ˈtüd-nəs,f
bolster:2,to support with or as if with a bolster : reinforce,"{{text,'"{dx_ety}see {dxt|bolster:1||}{/dx_ety}'"}}",verb,1508{ds||1||},bolster,"",f
red-eye,cheap whiskey,,noun,1819{ds||1||},red-eye,ˈred-ˌī,f
dye:2,to impart a new and often permanent color to especially by impregnating with a dye,,verb,before 12th century{ds|t|1||},dye,"",f
lungfish,any of an order (Dipnoi) of bony fishes that breathe by a modified swim bladder as well as gills,,noun,1883,lung*fish,ˈləŋ-ˌfish,f
switcheroo,a surprising variation : reversal,"{{text,'"alteration of {it}switch{/it}'"}}",noun,1933,switch*er*oo,ˌswi-chə-ˈrü,f
susurrus,a whispering or rustling sound,"{{text,'"Latin, hum, whisper {ma}{mat|swarm|}{/ma}'"}}",noun,1826,su*sur*rus,su̇-ˈsər-əs,f
quadriceps,the greater extensor muscle of the front of the thigh that is divided into four parts,"{{text,'"New Latin {it}quadricipit-, quadriceps{/it}, from {it}quadri-{/it} + {it}-cipit-, -ceps{/it} (as in {it}bicipit-, biceps{/it} biceps)'"}}",noun,1840,quad*ri*ceps,ˈkwä-drə-ˌseps,f
calk:3,to furnish with calks,,verb,1624{ds||1||},calk,"",f
Neptune,the Roman god of the sea,"{{text,'"Latin {it}Neptunus{/it}'"}}",noun,before 12th century{ds||1|a|},Nep*tune,ˈnep-ˌtün,f
indebtedness,the condition of being indebted,,noun,1647{ds||1||},in*debt*ed*ness,in-ˈde-təd-nəs,f
longevity,a long duration of individual life,"{{text,'"Late Latin {it}longaevitas{/it}, from Latin {it}longaevus{/it} long-lived, from {it}longus{/it} long + {it}aevum{/it} age {ma}{mat|aye|}{/ma}'"}}",noun,1569{ds||1|a|},lon*gev*i*ty,län-ˈje-və-tē,f
infraction,the act of infringing : violation,"{{text,'"Middle English, from Medieval Latin {it}infraction-, infractio{/it}, from Latin, subduing, from {it}infringere{/it} to break {ma}{mat|infringe|}{/ma}'"}}",noun,15th century,in*frac*tion,in-ˈfrak-shən,f
unbolted:1,not fastened by bolts,"{{text,'"{et_link|bolt:2|bolt:2}'"}}",adjective,circa 1580,un*bolt*ed,ˌən-ˈbōl-təd,f
arrive:1,to reach a destination,"{{text,'"Middle English {it}ariven, arriven{/it} \'"to reach the end of a journey by sea, disembark, reach a destination,\'" borrowed from Anglo-French {it}ariver, arriver{/it} \'"to bring (a person, a ship) to shore, to reach a destination by ship, disembark\'" (also continental Old French), going back to Vulgar Latin {it}*arrīpāre,{/it} parasynthetic derivative from Latin {it}ad rīpam{/it} \'"up to the shore, at the shore\'" from {it}ad{/it} \'"to, at\'" + {it}rīpam,{/it} accusative of {it}rīpa{/it} \'"bank, shore\'"; (sense 3) borrowed from French {it}arriver{/it} (attested in this sense since the 18th century) {ma}{mat|at:1|}, {mat|river|}{/ma}'"}}",verb,15th century{ds||1|a|},ar*rive,ə-ˈrīv,f
reattach,to attach (something) again,,verb,1751{ds||1||},re*at*tach,(ˌ)rē-ə-ˈtach,f
trademark:2,to secure trademark rights for : register the trademark of,,verb,1881,trademark,"",f
barbette,a mound of earth or a protected platform from which guns fire over a parapet,"{{text,'"French, diminutive of {it}barbe{/it} headdress'"}}",noun,1772{ds||1||},bar*bette,bär-ˈbet,f
impassible:1,incapable of suffering or of experiencing pain,"{{text,'"Middle English, from Middle French or Late Latin; Middle French, from Late Latin {it}impassibilis{/it}, from Latin {it}in-{/it} + Late Latin {it}passibilis{/it} passible'"}}",adjective,14th century{ds||1|a|},im*pas*si*ble,(ˌ)im-ˈpa-sə-bəl,f
discourteous,lacking courtesy : rude,,adjective,1561,dis*cour*te*ous,(ˌ)dis-ˈkər-tē-əs,f
dismast,to remove or break off the mast of,,verb,1747,dis*mast,(ˌ)dis-ˈmast,f
gymnasium,a large room used for various indoor sports (such as basketball or boxing) and usually equipped with gymnastic apparatus,"{{text,'"Latin, exercise ground, school, from Greek {it}gymnasion{/it}, from {it}gymnazein{/it} to exercise naked, from {it}gymnos{/it} naked {ma}{mat|naked|}{/ma}'"}}",noun,1598{ds||1|a|},gym*na*si*um,jim-ˈnā-zē-əm,f
unprepossessing,not tending to create a favorable impression : not prepossessing,,adjective,1790,un*pre*pos*sess*ing,ˌən-ˌprē-pə-ˈze-siŋ,f
maneuver:2,to perform a movement in military or naval tactics in order to secure an advantage,"{{text,'"{dx_ety}see {dxt|maneuver:1||}{/dx_ety}'"}}",verb,1777{ds|i|1|a|},maneuver,"",f
insidious,having a gradual and cumulative effect : subtle,"{{text,'"Latin {it}insidiosus{/it}, from {it}insidiae{/it} ambush, from {it}insidēre{/it} to sit in, sit on, from {it}in-{/it} + {it}sedēre{/it} to sit {ma}{mat|sit|}{/ma}'"}}",adjective,1545{ds||2|a|},in*sid*i*ous,in-ˈsi-dē-əs,f
trifle:1,"something of little value, substance, or importance","{{text,'"Middle English {it}trufle, trifle{/it}, from Anglo-French {it}trufle, triffle{/it} fraud, trick, nonsense'"}}",noun,14th century{ds||1||},tri*fle,ˈtrī-fəl,f
uniformity,the quality or state of being uniform,,noun,15th century{ds||1||},uni*for*mi*ty,ˌyü-nə-ˈfȯr-mə-tē,f
unrewarded,not having been given a reward : not rewarded,,adjective,15th century,un*re*ward*ed,ˌən-ri-ˈwȯr-dəd,f
Dreyfus:b,Alfred 1859—1935 French army officer,,biographical name,,Drey*fus,ˈdrī-fəs,f
league:3,to unite in a league,"{{text,'"{dx_ety}see {dxt|league:2||}{/dx_ety}'"}}",verb,1604{ds|t|||},league,"",f
Mohock,one of a gang of aristocratic ruffians who assaulted people in London streets in the early 18th century,"{{text,'"alteration of {it}Mohawk{/it}'"}}",noun,circa 1711,Mo*hock,ˈmō-ˌhäk,f
multipath,"of, relating to, or resulting from the propagation of electric waves over a number of different paths",,adjective,1902,mul*ti*path,ˌməl-tē-ˈpath,f
libidinous,having or marked by lustful desires : lascivious,"{{text,'"Middle English, from Latin {it}libidinosus{/it}, from {it}libidin-, libido{/it}'"}}",adjective,15th century{ds||1||},li*bid*i*nous,lə-ˈbi-də-nəs,f
third-stream,"of, relating to, or being music that incorporates elements of classical music and jazz",,adjective,1962,third-stream,ˈthərd-ˈstrēm,f
Seljuk,"of or relating to any of several Turkish dynasties ruling over a great part of western Asia in the 11th, 12th, and 13th centuries","{{text,'"Turkish {it}Selçuk{/it}, eponymous ancestor of the dynasties'"}}",adjective,1603{ds||1||},Sel*juk,ˈsel-ˌjük,f
reconsider,to consider again especially with a view to changing or reversing,,verb,1571{ds|t|||},re*con*sid*er,ˌrē-kən-ˈsi-dər,f
olfaction,the sense of smell,,noun,circa 1833{ds||1||},ol*fac*tion,äl-ˈfak-shən,f
controller,comptroller,"{{text,'"Middle English {it}countreroller{/it}, from Anglo-French {it}contreroulur{/it}, from {it}contreroule{/it}'"}}",noun,15th century{ds||1|a|},con*trol*ler,kən-ˈtrō-lər,f
enchanting,"powerfully pleasing, appealing, or delightful : charming",,adjective,1589,en*chant*ing,in-ˈchan-tiŋ,f
countryside,a rural area,,noun,15th century{ds||1||},coun*try*side,ˈkən-trē-ˌsīd,f
pliant,pliable,,adjective,14th century{ds||1||},pli*ant,ˈplī-ənt,f
Milford:g,"town in southern Connecticut on Long Island Sound population 51,271",,geographical name,,Mil*ford,ˈmil-fərd,f
slang:1,language peculiar to a particular group: such as,"{{text,'"origin unknown'"}}",noun,1756{ds||1||},slang,ˈslaŋ,f
sit-down:1,"served to seated diners; also : of, relating to, or serving sit-down meals",,adjective,1789,sit-down,ˈsit-ˈdau̇n,f
warmed-over,not fresh or new : stale,,adjective,1864{ds||1||},warmed-over,ˈwȯrmd-ˈō-vər,f
collusion,secret agreement or cooperation especially for an illegal or deceitful purpose,"{{text,'"Middle English, from Anglo-French, from Latin {it}collusion-, collusio{/it}, from {it}colludere{/it} {dx_ety}see {dxt|collude||}{/dx_ety}'"}}",noun,14th century,col*lu*sion,kə-ˈlü-zhən,f
rejoice,to give joy to : gladden,"{{text,'"Middle English, from Anglo-French {it}rejois-{/it}, stem of {it}rejoier, rejoir{/it}, from {it}re-{/it} + {it}joir{/it} to welcome, enjoy, from Latin {it}gaudēre{/it} to be glad {ma}{mat|joy|}{/ma}'"}}",verb,14th century{ds|i|||},re*joice,ri-ˈjȯis,f
thwartwise,crosswise,,adverb or adjective,1589,thwart*wise,ˈthwȯrt-ˌwīz,f
letterhead,stationery printed or engraved usually with the name and address of an organization; also : a sheet of such stationery,,noun,1841{ds||1||},let*ter*head,ˈle-tər-ˌhed,f
unsaturated,not saturated: such as,,adjective,1758,un*sat*u*rat*ed,ˌən-ˈsa-chə-ˌrā-təd,f
croquis,a rough draft : sketch,"{{text,'"French, from {it}croquer{/it} to sketch, rough out, literally, to crunch'"}}",noun,1805,cro*quis,krō-ˈkē,f
disadvantage:1,"loss or damage especially to reputation, credit, or finances : detriment","{{text,'"Middle English {it}disavauntage{/it}, from Anglo-French {it}desavantage{/it}, from {it}des-{/it} dis- + {it}avantage{/it} advantage'"}}",noun,14th century{ds||1||},dis*ad*van*tage,ˌdis-əd-ˈvan-tij,f
merino,any of a breed of fine-wooled white sheep originating in Spain and producing a heavy fleece of exceptional quality,"{{text,Spanish}}",noun,1804{ds||1||},me*ri*no,mə-ˈrē-(ˌ)nō,f
indict,to charge with a crime by the finding or presentment of a jury (such as a grand jury) in due form of law,"{{text,'"alteration of earlier {it}indite{/it}, from Middle English {it}inditen{/it}, from Anglo-French {it}enditer{/it} to write, point out, indict {ma}{mat|indite|}{/ma}'"}}",verb,1531{ds||1||},in*dict,in-ˈdīt,f
biradical,a free radical or compound with two unpaired electrons,,noun,1943,bi*rad*i*cal,(ˌ)bī-ˈra-di-kəl,f
acetone,a volatile fragrant flammable liquid ketone C3H6O used chiefly as a solvent and in organic synthesis and found in abnormal quantities in diabetic urine,"{{text,'"borrowed from French {it}acétone,{/it} from ({it}esprit pyro-{/it}){it}acétique,{/it} literally, \'"pyro-acetic spirit,\'" an earlier name for acetone + {it}-one{/it} {et_link|-one|-one}'"}}",noun,1837,ac*e*tone,ˈa-sə-ˌtōn,f
enharmonic,"of, relating to, or being notes that are written differently (such as A flat and G sharp) but sound the same in the tempered scale","{{text,'"French {it}enharmonique{/it}, from Middle French, of a scale employing quarter tones, from Greek {it}enarmonios{/it}, from {it}en{/it} in + {it}harmonia{/it} harmony, scale'"}}",adjective,1794,en*har*mon*ic,ˌen-(ˌ)här-ˈmä-nik,f
denature,dehumanize,,verb,1685{ds|t|1||},de*na*ture,(ˌ)dē-ˈnā-chər,f
epiphenomenal,of or relating to an epiphenomenon : derivative,"{{text,'"{et_link|epiphenomenon|epiphenomenon} + {et_link|-al:1|-al:1}'"}}",adjective,1899,epi*phe*nom*e*nal,ˌe-pi-fi-ˈnä-mə-nᵊl,f
prelim,preliminary,,noun or adjective,1891,pre*lim,ˈprē-ˌlim,f
Berner Alpen:g,section of the Alps mountain system in southern Switzerland in the cantons of Bern and Valais between Lake Thun and Brienz on the north and the valley of the upper Rhône River on the south,,geographical name,,Ber*ner Al*pen,ˌber-nər-ˈäl-pən,f
lactone,any of various cyclic esters formed from hydroxy acids,"{{text,'"International Scientific Vocabulary'"}}",noun,1880,lac*tone,ˈlak-ˌtōn,f
terrify,to drive or impel by menacing : scare,"{{text,'"Latin {it}terrificare{/it}, from {it}terrificus{/it}'"}}",verb,15th century{ds||1|a|},ter*ri*fy,ˈter-ə-ˌfī,f
avouch,to declare as a matter of fact or as a thing that can be proved : affirm,"{{text,'"Middle English, to cite as authority, from Middle French {it}avochier{/it} to summon, from Latin {it}advocare{/it} {ma}{mat|advocate|}{/ma}'"}}",verb,15th century{ds||1||},avouch,ə-ˈvau̇ch,f
newel,an upright post about which the steps of a circular staircase wind,"{{text,'"Middle English {it}nowell{/it}, from Anglo-French {it}nuel, noel{/it} stone of a fruit, stone cut to form a newel, from Late Latin {it}nucalis{/it} like a nut, from Latin {it}nuc-, nux{/it} nut {ma}{mat|nut|}{/ma}'"}}",noun,14th century{ds||1||},new*el,ˈnü-əl,f
didst,no definition,,,,didst,ˈdidst,f
wiener,"frankfurter, hot dog","{{text,'"short for {it}wienerwurst{/it}'"}}",noun,1900,wie*ner,ˈwē-nər,f
megaphone:2,to transmit or address through or as if through a megaphone,,verb,1901{ds|t|||},megaphone,"",f
humankind,the human race : humanity,,"noun, singular or plural in construction",1560,hu*man*kind,ˈhyü-mən-ˌkīnd,f
typecast,to cast (an actor or actress) in a part calling for the same characteristics as those possessed by the performer,,verb,1927{ds||1||},type*cast,ˈtīp-ˌkast,f
stand-in,someone employed to occupy an actor's place while lights and camera are readied,,noun,circa 1928{ds||1||},stand-in,ˈstand-ˌin,f
measurable:2,something that may be measured; especially : a measurable physical attribute (such as height or weight) or ability (such as speed or jumping height) of an athlete —often used in plural,,noun,1628,measurable,"",f
unbolt,to open or unfasten by withdrawing a bolt,,verb,1581,un*bolt,ˌən-ˈbōlt,f
seta,a slender usually rigid or bristly and springy organ or part of an animal or plant,"{{text,'"New Latin, from Latin {it}saeta, seta{/it} bristle'"}}",noun,circa 1793,se*ta,ˈsē-tə,f
allied,having or being in close association : connected,,adjective,circa 1518{ds||1||},al*lied,ə-ˈlīd,f
speedboat,a fast launch or motorboat,,noun,1911,speed*boat,ˈspēd-ˌbōt,f
uncrossable,unable to be crossed : not crossable,,adjective,1882,un*cross*able,ˌən-ˈkrȯ-sə-bəl,f
Marin:b,John Cheri 1870—1953 American painter,,biographical name,,Mar*in,ˈmer-ən,f
textbook:1,a book used in the study of a subject: such as,,noun,1779,text*book,ˈteks(t)-ˌbu̇k,f
outward:2,toward the outside,,adverb,before 12th century{ds||1||},out*ward,ˈau̇t-wərd,f
spineless,"free from spines, thorns, or prickles",,adjective,1827{ds||1||},spine*less,ˈspīn-ləs,f
photo:1,photograph,,noun,1860,pho*to,ˈfō-(ˌ)tō,f
uneasy:1,causing physical or mental discomfort,,adjective,14th century{ds||1||},un*easy,ˌən-ˈē-zē,f
contemporaneity,the quality or state of being contemporaneous or contemporary,"{{text,'"{et_link|contemporane(ous)|contemporaneous} + {et_link|-ity|-ity}'"}}",noun,1644,con*tem*po*ra*ne*i*ty,kən-ˌtem-p(ə-)rə-ˈnē-ə-tē,f
kazoo:1,an instrument that imparts a buzzing quality to the human voice and that usually consists of a small metal or plastic tube with a side hole covered by a thin membrane,"{{text,imitative}}",noun,1884,ka*zoo,kə-ˈzü,f
impaint,"paint, depict",,verb,1596,im*paint,im-ˈpānt,f
scorecard,a card for recording the score of a game,,noun,circa 1877{ds||1||},score*card,ˈskȯr-ˌkärd,f
risky,attended with risk or danger : hazardous,,adjective,1813,risky,ˈri-skē,f
gimp:4,"limp, hobble",,verb,circa 1931,gimp,"",f
brine:2,to treat (as by steeping) with brine,,verb,1552,brine,"",f
exorbitance,"an exorbitant action or procedure; especially : excessive or gross deviation from rule, right, or propriety",,noun,1609{ds||1||},ex*or*bi*tance,ig-ˈzȯr-bə-tən(t)s,f
comfit,"a candy consisting of a piece of fruit, a root (such as licorice), a nut, or a seed coated and preserved with sugar","{{text,'"Middle English {it}confit{/it}, from Anglo-French {it}*confit{/it}, from past participle of {it}confire, cumfire{/it} to prepare, from Latin {it}conficere{/it}, from {it}com-{/it} + {it}facere{/it} to make {ma}{mat|do|}{/ma}'"}}",noun,14th century,com*fit,ˈkəm(p)-fət,f
extradite,to deliver up to extradition,"{{text,'"back-formation from {it}extradition{/it}'"}}",verb,1864{ds||1||},ex*tra*dite,ˈek-strə-ˌdīt,f
vesture:1,a covering garment (such as a robe or vestment),"{{text,'"Middle English, from Anglo-French, from {it}vestir{/it} to clothe {ma}{mat|vest:2|}{/ma}'"}}",noun,14th century{ds||1|a|},ves*ture,ˈves-chər,f
jubilee:1,a special anniversary; especially : a 50th anniversary,"{{text,'"Middle English, from Anglo-French & Late Latin; Anglo-French {it}jubilé{/it}, from Late Latin {it}jubilaeus{/it}, modification of Late Greek {it}iōbēlaios{/it}, from Hebrew {it}yōbhēl{/it} ram''s horn, jubilee'"}}",noun,14th century{ds||3||},ju*bi*lee,ˈjü-bə-(ˌ)lē,f
date of birth,"the month, day, and year a person was born",,noun phrase,,date of birth,"",f
preload,to load in advance and especially at a time removed from that of use,,verb,1945,pre*load,ˈprē-ˌlōd,f
underside,the side or surface lying underneath,,noun,1660{ds||1||},un*der*side,ˈən-dər-ˌsīd,f
palanquin,a conveyance formerly used especially in eastern Asia usually for one person that consists of an enclosed litter borne on the shoulders of men by means of poles,"{{text,'"Portuguese {it}palanquim{/it}, from Malay or Javanese {it}pelangki{/it}, of Indo-Aryan origin; akin to Bengali {it}pālaṅka{/it} bed'"}}",noun,1588,pa*lan*quin,ˌpa-lən-ˈkēn,f
curfew,the sounding of a bell at evening,"{{text,'"Middle English, from Anglo-French {it}coverfeu{/it}, signal given to bank the hearth fire, curfew, from {it}coverir{/it} to cover + {it}fu, feu{/it} fire, from Latin {it}focus{/it} hearth'"}}",noun,14th century{ds||1||},cur*few,ˈkər-(ˌ)fyü,f
identifier,one that identifies,,noun,1807,iden*ti*fi*er,ī-ˈden-tə-ˌfī(-ə)r,f
featherbrain,a foolish scatterbrained person,,noun,1668,feath*er*brain,ˈfe-t͟hər-ˌbrān,f
Cerberus,a 3-headed dog that in Greek mythology guards the entrance to Hades,"{{text,'"Latin, from Greek {it}Kerberos{/it}'"}}",noun,14th century,Cer*ber*us,ˈsər-b(ə-)rəs,f
malacostracan,any of a large subclass (Malacostraca) of crustaceans having a thorax consisting of eight segments usually covered by a carapace and including the decapods and isopods,"{{text,'"ultimately from Greek {it}malakostrakos{/it} soft-shelled, from {it}malakos{/it} soft + {it}ostrakon{/it} shell {ma}{mat|mollify|}, {mat|oyster|}{/ma}'"}}",noun,1835,mal*a*cos*tra*can,ˌma-lə-ˈkä-stri-kən,f
henna:2,to dye with henna,,verb,1851,henna,"",f
multitasking,the concurrent performance of several jobs by a computer,,noun,1966{ds||1||},mul*ti*task*ing,ˈməl-tē-ˌta-skiŋ,f
slaphappy,punch-drunk,,adjective,1936{ds||1||},slap*hap*py,ˈslap-ˌha-pē,f
precipitate:1,to throw violently : hurl,"{{text,'"Latin {it}praecipitatus{/it}, past participle of {it}praecipitare{/it}, from {it}praecipit-, praeceps{/it} {dx_ety}see {dxt|precipice||}{/dx_ety}'"}}",verb,1528{ds|t|1|a|},pre*cip*i*tate,pri-ˈsi-pə-ˌtāt,f
cardigan,a usually collarless sweater or jacket that opens the full length of the center front,"{{text,'"James Thomas Brudenell, 7th Earl of {it}Cardigan{/it} †1868 English soldier'"}}",noun,1862,car*di*gan,ˈkär-di-gən,f
Annamese,a native or inhabitant of Annam,,noun,1825{ds||1||},An*nam*ese,ˌa-nə-ˈmēz,f
falsify,to prove or declare false : disprove,"{{text,'"Middle English {it}falsifien{/it}, from Middle French {it}falsifier{/it}, from Medieval Latin {it}falsificare{/it}, from Latin {it}falsus{/it}'"}}",verb,15th century{ds|t|1||},fal*si*fy,ˈfȯl-sə-ˌfī,f
argument,"the act or process of arguing, reasoning, or discussing : argumentation","{{text,'"Middle English, from Anglo-French, from Latin {it}argumentum{/it}, from {it}arguere{/it} {dx_ety}see {dxt|argue||}{/dx_ety}'"}}",noun,14th century{ds||6||},ar*gu*ment,ˈär-gyə-mənt,f
condition:1,a premise upon which the fulfillment of an agreement depends : stipulation,"{{text,'"Middle English {it}condicion{/it}, from Anglo-French, from Latin {it}condicion-, condicio{/it} terms of agreement, condition, from {it}condicere{/it} to agree, from {it}com-{/it} + {it}dicere{/it} to say, determine {ma}{mat|diction|}{/ma}'"}}",noun,14th century{ds||1|a|},con*di*tion,kən-ˈdi-shən,f
unsafe,not safe: such as,,adjective,1597,un*safe,ˌən-ˈsāf,f
trench coat,"a usually double-breasted raincoat with deep pockets, wide belt, and often straps on the shoulders",,noun,1914{ds||2||},trench coat,"",f
spermatogonium,a primitive male germ cell,"{{text,'"New Latin'"}}",noun,1861,sper*mato*go*ni*um,(ˌ)spər-ˌma-tə-ˈgō-nē-əm,f
gradual:1,"moving, changing, or developing by fine or often imperceptible degrees","{{text,'"Medieval Latin {it}gradualis{/it}, from Latin {it}gradus{/it}'"}}",adjective,1658{ds||2||},grad*u*al,ˈgra-jə-wəl,f
consultive,consultative,,adjective,1616,con*sul*tive,kən-ˈsəl-tiv,f
whisk:1,a quick light brushing or whipping motion,"{{text,'"Middle English {it}wisk{/it}, probably of Scandinavian origin; akin to Old Norse {it}visk{/it} wisp; akin to Old English {it}wiscian{/it} to plait'"}}",noun,14th century{ds||1||},whisk,ˈ(h)wisk,f
pre-Socratic,of or relating to Greek philosophers before Socrates,,adjective,1871,pre-So*crat*ic,ˌprē-sə-ˈkra-tik,f
collegial,collegiate,"{{text,'"{dx_ety}see {dxt|college||}{/dx_ety}'"}}",adjective,14th century{ds||1||},col*le*gial,kə-ˈlē-j(ē-)əl,f
tuff,a rock composed of the finer kinds of volcanic detritus usually fused together by heat,"{{text,'"earlier {it}tuph, tuft{/it} porous rock, from Middle French {it}tuf{/it}, from Old Italian {it}tufo{/it}'"}}",noun,1815,tuff,ˈtəf,f
trephine,a surgical instrument for cutting out circular sections (as of bone or corneal tissue),"{{text,'"French {it}tréphine{/it}, from obsolete English {it}trefine, trafine{/it}, from Latin {it}tres fines{/it} three ends, from {it}tres{/it} three + {it}fines{/it}, plural of {it}finis{/it} end {ma}{mat|three|}{/ma}'"}}",noun,1628,tre*phine,ˈtrē-ˌfīn,f
blacken,to become dark or black,,verb,14th century{ds|i|||},black*en,ˈbla-kən,f
epiglottal,"of, relating to, or produced with the aid of the epiglottis",,adjective,1926,epi*glot*tal,ˌe-pə-ˈglä-tᵊl,f
faze,"to disturb the composure of : disconcert, daunt","{{text,'"alteration of {it}feeze{/it} to drive away, frighten, from Middle English {it}fesen{/it}, from Old English {it}fēsian{/it} to drive away'"}}",verb,1830,faze,ˈfāz,f
unequal:1,"not of the same measurement, quantity, or number as another",,adjective,1565{ds||1|a|},un*equal,ˌən-ˈē-kwəl,f
couldst,no definition,,,,couldst,kədst,f
allotype,an alloantigen that is part of a plasma protein (such as an antibody),"{{text,'"borrowed from French, from {it}allo-{/it} {et_link|allo-|allo-} + {it}-type{/it} {et_link|type:1|type:1}'"}}",noun,1960,al*lo*type,ˈa-lə-ˌtīp,f
mutual,directed by each toward the other or the others,"{{text,'"Middle French {it}mutuel{/it}, from Latin {it}mutuus{/it} lent, borrowed, mutual, from {it}mutare{/it} to change {ma}{mat|mutable|}{/ma}'"}}",adjective,15th century{ds||1|a|},mu*tu*al,ˈmyü-chə-wəl,f
etymologise,no definition,,,,et*y*mol*o*gise,"",f
